Isolate,Trial,rep,0,0.01,0.1,1,5,10,20,100
14Fv46,10,1,50,,49,39,17,7,2,
14Fv46,10,2,50,,50,40,22,8,1,
14Fv47,10,1,49.5,,48,36,20,0,0,
14Fv47,10,2,49.5,,48,34,15,3,0,
14Fv48,10,1,49.5,,49,37,19,2,0,
14Fv48,10,2,49.5,,50,40,16,5,1,
14Fv49,10,1,50,,48,32,16,2,0,
14Fv49,10,2,50,,47,32,8,3,0,
14Fv50,10,1,50,,48,36,22,6,0,
14Fv50,10,2,50,,48,37,18,6,0,
13Fv165,10,1,49.5,,49,38,15,3,0,
13Fv165,10,2,49.5,,49,39,15,6,0,
13Fv188,10,1,50,,50,42,25,13,2,
13Fv188,10,2,50,,49,40,25,14,3,
13Fv190,10,1,48.5,,49,48,46,49,47,
13Fv190,10,2,48.5,,49,48,47,48,48,
13Fv199,10,1,50,,47,21,0,0,0,
13Fv199,10,2,50,,49,19,0,0,0,
10Fv680,11,1,47,,46,30,12,1,0,
10Fv680,11,2,47,,49,37,16,2,0,
13Fv165,11,1,49.5,,47,33,4,0,0,
13Fv165,11,2,49.5,,47,28,5,0,0,
14Fv43,11,1,49.5,,49,24,5,0,0,
14Fv43,11,2,49.5,,49,27,2,0,0,
14Fv44,11,1,50,,50,35,7,2,0,
14Fv44,11,2,50,,48,31,6,0,0,
10Fv680,12,1,49.5,,49,37,18,6,0,
10Fv680,12,2,49.5,,49,33,17,4,0,
LL0059,12,1,49.5,,47,39,27,10,0,
LL0059,12,2,49.5,,50,36,27,11,2,
VB-1,12,1,49.5,,49,39,25,5,0,
VB-1,12,2,49.5,,48,35,19,4,0,
FV-LS1-ss1,12,1,49,,50,36,21,7,1,
FV-LS1-ss1,12,2,49,,49,38,29,5,0,
AR171,12,1,49.5,,49,36,25,3,1,
AR171,12,2,49.5,,50,37,23,7,2,
LL0036,12,1,49.5,,48,27,16,3,0,
LL0036,12,2,49.5,,49,26,16,2,0,
LL0023,12,1,50,,50,31,14,3,1,
LL0023,12,2,50,,50,35,14,1,0,
LL0039,12,1,48.5,,49,40,24,3,0,
LL0039,12,2,48.5,,50,37,23,3,0,
LL0094,12,1,49.5,,47,37,23,4,0,
LL0094,12,2,49.5,,49,33,22,3,0,
13C1N,12,1,50,,49,41,11,1,0,
13C1N,12,2,50,,48,38,9,1,0,
13FV206,12,1,49.5,,49,26,9,0,0,
13FV206,12,2,49.5,,49,27,8,0,0,
13FV188,12,1,49,,49,26,15,0,0,
13FV188,12,2,49,,49,31,15,1,0,
LE11-1,12,1,49.5,,48,24,16,2,0,
LE11-1,12,2,49.5,,48,25,9,1,0,
13Pike1#2,12,1,50,,47,31,9,0,0,
13Pike1#2,12,2,50,,48,28,8,0,0,
FAV13,12,1,49.5,,49,38,9,0,0,
FAV13,12,2,49.5,,48,35,13,0,0,
13C13#1,12,1,49,,47,29,8,0,0,
13C13#1,12,2,49,,47,33,5,0,0,
VB2-a,12,1,49,,50,32,16,2,0,
VB2-a,12,2,49,,48,33,14,2,0,
10FV680,12,1,49,,48,22,16,6,0,
10FV680,12,2,49,,49,29,10,5,0,
10FV680,13,1,49.5,,47,30,12,3,0,
10FV680,13,2,49.5,,46,33,7,0,0,
VB-2a,13,1,49.5,,49,33,13,3,0,
VB-2a,13,2,49.5,,49,34,11,4,1,
13Clinton-N,13,1,49,,48,37,8,2,0,
13Clinton-N,13,2,49,,48,35,13,2,0,
LL0023,13,1,48.5,,48,37,11,3,0,
LL0023,13,2,48.5,,47,32,11,4,1,
LL0036,13,1,50,,49,36,17,6,1,
LL0036,13,2,50,,47,37,15,4,2,
AR171,13,1,50,,49,31,19,3,0,
AR171,13,2,50,,49,35,17,2,1,
LL0059,13,1,48.5,,48,39,17,7,0,
LL0059,13,2,48.5,,50,33,16,4,0,
VB-1,13,1,49,,50,34,20,3,1,
