;EC50;StdErr;Lower;Upper;pvalue;Set;Strain
MIBer_F7_3;4,55192201614362;1,3010085335817;1,79390713147171;7,30993690081554;0,00297129356968884;3;MIBer_F7
MISTJ_A1_3;4,12309923315304;1,03036937266717;1,93881373988062;6,30738472642546;0,00102861553666773;3;MISTJ_A1
MITU_C3_b_3;5,14774434398712;0,862474315236339;3,32808259822037;6,96740608975387;0,0000152565988367229;3;MITU_C3_b
Mo1b_3;4,06658622376686;0,643535856214657;2,70884424943088;5,42432819810285;0,00000769820852001002;3;Mo1b
SA-11-2b_3;3,05094213598035;0,367256087223482;2,27609952210213;3,82578474985856;0,000000217620697658207;3;SA-11-2b
ARLE_B3_4;4,06608313220606;1,55530131734372;0,768991627683316;7,3631746367288;0,0187853368217128;4;ARLE_B3
Ca1a_4;5,45075309156783;1,4447616306354;2,40257249699741;8,49893368613826;0,00151798866070957;4;Ca1a
Ca2a_4;4,29590733309378;1,65801429440603;0,79780294648562;7,79401171970194;0,0190310546693784;4;Ca2a
Hu-11-1_4;2,38986010500775;0,338567874662778;1,67212827336405;3,10759193665145;0,0000027033481564706;4;Hu-11-1
INMO_B5_4;2,3665074691413;0,243942150860973;1,85183451916465;2,88118041911794;0,0000000241109570350071;4;INMO_B5
INMO_C1_4;3,70627275612547;1,07399434640904;1,44034275356677;5,97220275868418;0,00305198912896732;4;INMO_C1
MIBer_A2_4;1,93769191083687;0,255170104153766;1,3993300500959;2,47605377157783;0,000000736633708331138;4;MIBer_A2
MIBer_A3_4;3,67699452142178;1,21356703096736;1,11659189474191;6,23739714810166;0,0075567647853165;4;MIBer_A3
MIBer_B5_4;1,74636774135356;0,271593868019963;1,17335476776103;2,31938071494608;0,00000622117742961765;4;MIBer_B5
MISA_A3_4;2,96212525979632;0,597412111534626;1,70169588049427;4,22255463909837;0,000119589105812772;4;MISA_A3
MISTJ_C7_4;2,71305395902848;0,346887772539033;1,98118473276573;3,44492318529123;0,000000495904152032786;4;MISTJ_C7
MITU_A2_4;3,68929702164678;1,06228024383065;1,44808161518829;5,93051242810527;0,00290944987000382;4;MITU_A2
STJ3b_4;1,5291350722066;0,114321338918438;1,28793813047771;1,77033201393548;0,000000000188022882370018;4;STJ3b
INMO_A3_5;3,13626550029396;0,541982529300987;1,99278231706124;4,27974868352668;0,0000218985142337199;5;INMO_A3
INMO_B2_5;2,75383362733411;0,483732565169212;1,73324712583484;3,77442012883339;0,0000264268071919021;5;INMO_B2
INMO_E5_5;3,77754762666642;1,22395262555826;1,19523331073362;6,35986194259923;0,0066975209808278;5;INMO_E5
INMO_G6_5;2,61648904096499;0,298092597904895;1,98756863426844;3,24540944766154;0,000000100979777198151;5;INMO_G6
KSSH_A1_5;3,79010309914659;0,57815244791561;2,57030805817177;5,00989814012141;0,00000489906527475407;5;KSSH_A1
KSSH_C2_5;1,98254962961574;0,193210687033422;1,57491071230875;2,39018854692274;0,0000000105977426324764;5;KSSH_C2
KSSH_C4_5;3,67524474779109;0,850451293684682;1,88094936018665;5,46954013539553;0,000463027883315969;5;KSSH_C4
MIBer_B3_5;4,0077151943336;0,708434993166286;2,51304800986913;5,50238237879806;0,0000283982234669523;5;MIBer_B3
MIBer_E6_5;3,17672475718815;0,458562450075822;2,20924255660877;4,14420695776753;0,00000244310509429077;5;MIBer_E6
MIBer_F4_5;3,48847051485294;0,426335805680796;2,58898059063948;4,3879604390664;0,000000268137408324255;5;MIBer_F4
MISTJ_A2_5;3,55306097829151;0,558078757513428;2,37561772203181;4,7305042345512;0,00000702616861084546;5;MISTJ_A2
MIVB_B3_5;2,49643094471708;0,38586487851872;1,67843394396188;3,31442794547228;0,00000773887082948529;5;MIVB_B3
ARLE_G7_6;3,22428833759938;0,696556457717372;1,75468267226688;4,69389400293189;0,000239838435060815;6;ARLE_G7
DB_P30R7_6;1,84407163167905;0,267334108373633;1,28004596534618;2,40809729801192;0,0000025802339397935;6;DB_P30R7
INMO_A1_6;3,06237553312916;0,482649700217112;2,04407367697452;4,0806773892838;0,00000732511151827666;6;INMO_A1
INMO_A5_6;2,22236393531056;0,193056365047524;1,81505060893342;2,6296772616877;0,00000000189526669254059;6;INMO_A5
INMO_B6_6;2,11443739167832;0,204897378387108;1,68214171089999;2,54673307245665;0,00000000974534163316384;6;INMO_B6
INMO_D1_6;3,25312335030645;0,386519108440486;2,43763931418847;4,06860738642443;0,000000181662886756449;6;INMO_D1
INMO_F2_6;4,02812884905623;0,341667508108135;3,3072734180102;4,74898428010227;0,0000000013182729839523;6;INMO_F2
KSSH_A7_6;1,17026465635784;0,483663081779552;0,149824751996473;2,19070456071921;0,0270326687809899;6;KSSH_A7
MISTJ_A1_6;3,53101160224222;0,421447666559799;2,64183475009285;4,42018845439159;0,000000193482851962966;6;MISTJ_A1
MISTJ_C6_6;3,54485531531724;0,486886127907138;2,51761537802782;4,57209525260666;0,00000128445095868182;6;MISTJ_C6
MITU_A1_6;2,72399052336236;0,515026955654661;1,63737862931809;3,81060241740663;0,0000601287889981633;6;MITU_A1
