8@ARLE_C1:50	4.23	1.15	1.79	6.66
8@ARLE_G4:50	3.70	1.02	1.54	5.86
8@Ber1-5:50	2.453	0.722	0.930	3.976
8@DB_P30R5:50	3.140	0.804	1.445	4.836
8@MIBer_A6:50	5.040	2.225	0.345	9.735
8@MIBer_B1:50	3.099	1.102	0.774	5.423
8@MIBer_B2:50	4.630	1.829	0.772	8.489
8@MIBer_E4:50	7.70	3.00	1.37	14.03
8@MISTJ_E4a:50	2.268	0.327	1.579	2.957
8@MITU_C1:50	4.93	1.36	2.06	7.79
8@MITU_C3a:50	2.922	0.994	0.826	5.019
8@MIVB_D5:50	2.051	0.384	1.240	2.861
8@Mo5a:50	2.68	0.37	1.90	3.46
9@CL-11-1:50	3.447	0.643	2.091	4.803
9@DB_P28R13:50	1.692	0.158	1.358	2.026
9@INMO_A2:50	3.414	1.441	0.373	6.454
9@INMO-G3:50	3.881	0.497	2.832	4.930
9@MISA-B6:50	3.664	1.627	0.232	7.097
9@MISTJ_A3:50	2.883	0.378	2.085	3.681
9@MISTJ-D6:50	9.28	2.16	4.72	13.84
9@MITU-A4:50	3.457	0.518	2.364	4.549
9@MITU-A5:50	3.412	0.418	2.530	4.294
9@MIVB-A7:50	3.660	0.407	2.802	4.518
9@Mo3a:50	4.385	0.923	2.437	6.333
9@Mo4c_2:50	3.185	0.472	2.189	4.181
9@VB-1:50	3.518	0.515	2.430	4.605
